"Godzina","Kurs (PLN/MWh)","Wolumen (MWh)"
"0-1","518,54","2 639,50"
"1-2","476,00","2 594,00"
"2-3","454,28","2 340,30"
"3-4","440,00","2 253,80"
"4-5","411,80","2 360,30"
"5-6","381,13","2 546,70"
"6-7","308,50","3 061,40"
"7-8","238,92","3 858,70"
"8-9","0,01","4 286,80"
"9-10","-50,00","3 446,00"
"10-11","-225,00","3 841,00"
"11-12","-420,00","4 222,40"
"12-13","-480,00","4 373,50"
"13-14","-450,01","4 505,00"
"14-15","-500,00","4 310,60"
"15-16","-424,00","4 192,30"
"16-17","-307,80","3 892,40"
"17-18","-100,00","3 902,50"
"18-19","104,00","5 518,30"
"19-20","400,00","4 834,00"
"20-21","534,38","4 400,60"
"21-22","600,00","4 179,60"
"22-23","518,54","3 535,80"
"23-24","460,00","3 149,30"
