"Godzina","Kurs (PLN/MWh)","Wolumen (MWh)"
"0-1","465,00","2 694,30"
"1-2","449,00","2 497,40"
"2-3","431,30","2 316,10"
"3-4","425,00","2 381,90"
"4-5","436,80","2 362,40"
"5-6","461,57","2 474,50"
"6-7","536,00","2 995,50"
"7-8","510,00","3 366,70"
"8-9","413,97","3 641,80"
"9-10","248,95","4 325,10"
"10-11","0,01","5 010,50"
"11-12","-0,01","4 174,60"
"12-13","-2,12","4 030,80"
"13-14","-2,13","3 814,30"
"14-15","-2,00","3 628,20"
"15-16","0,01","3 974,50"
"16-17","136,65","3 768,60"
"17-18","367,41","3 303,10"
"18-19","650,00","3 019,90"
"19-20","947,13","3 779,50"
"22-23","710,44","4 407,60"
"23-24","550,00","4 105,30"
