"Godzina","Kurs (PLN/MWh)","Wolumen (MWh)"
"0-1","470,89","3 066,50"
"1-2","449,00","3 117,90"
"2-3","438,00","3 070,30"
"3-4","434,00","3 001,10"
"4-5","435,00","3 039,40"
"5-6","448,00","2 764,20"
"6-7","500,44","2 739,70"
"7-8","505,83","3 189,80"
"8-9","491,20","3 158,50"
"9-10","480,00","3 217,70"
"10-11","433,95","3 316,60"
"11-12","400,00","3 460,70"
"12-13","398,23","3 828,40"
"13-14","378,12","3 693,70"
"14-15","378,90","3 390,30"
"15-16","398,13","3 032,70"
"16-17","424,99","2 726,20"
"17-18","475,00","3 100,20"
"18-19","630,00","3 401,60"
"19-20","850,00","3 937,20"
"20-21","949,47","3 961,40"
"21-22","722,29","3 576,30"
"22-23","569,73","3 789,40"
"23-24","485,00","3 146,40"
