"Godzina","Kurs (PLN/MWh)","Wolumen (MWh)"
"0-1","430,69","2 439,50"
"1-2","370,88","2 762,80"
"2-3","357,66","2 864,00"
"3-4","349,75","2 913,50"
"4-5","330,00","3 189,50"
"5-6","325,00","3 119,90"
"6-7","292,50","3 301,50"
"7-8","225,00","3 718,10"
"8-9","40,00","4 087,50"
"9-10","-0,99","3 731,60"
"10-11","-12,00","3 590,60"
"11-12","-54,91","3 874,70"
"12-13","-100,00","3 780,20"
"13-14","-150,00","3 927,40"
"14-15","-150,00","3 950,10"
"15-16","-100,00","3 826,20"
"16-17","-50,60","3 604,40"
"17-18","0,00","3 954,30"
"18-19","278,00","4 233,70"
"19-20","447,00","3 951,30"
"20-21","550,00","3 511,10"
"21-22","558,10","3 565,70"
"22-23","530,40","3 386,60"
"23-24","468,64","3 281,20"
