"Godzina","Kurs (PLN/MWh)","Wolumen (MWh)"
"0-1","436,00","2 653,70"
"1-2","415,27","2 602,40"
"2-3","415,01","2 479,20"
"3-4","407,00","2 413,80"
"4-5","408,00","2 364,60"
"5-6","415,01","2 338,70"
"6-7","447,80","2 941,20"
"7-8","430,00","2 743,00"
"8-9","404,00","2 747,30"
"9-10","358,11","3 195,00"
"10-11","272,52","3 724,30"
"11-12","207,99","4 132,50"
"12-13","174,59","4 069,30"
"13-14","178,90","3 690,90"
"14-15","205,99","3 671,60"
"15-16","310,00","3 294,50"
"16-17","373,50","2 715,90"
"17-18","447,79","2 740,60"
"18-19","510,30","3 438,80"
"19-20","700,00","3 679,60"
"20-21","748,20","3 949,50"
"21-22","620,00","3 502,40"
"22-23","500,00","3 388,90"
"23-24","455,30","3 184,60"
