"Godzina","Kurs (PLN/MWh)","Wolumen (MWh)"
"0-1","467,12","2 406,20"
"1-2","440,00","2 186,10"
"2-3","425,00","2 059,90"
"3-4","412,00","1 996,40"
"4-5","406,43","2 010,70"
"5-6","410,00","1 896,50"
"6-7","405,90","1 847,80"
"7-8","412,94","1 722,10"
"8-9","450,00","2 192,90"
"9-10","421,38","2 512,80"
"10-11","404,57","3 020,30"
"11-12","390,25","3 187,60"
"12-13","388,01","3 177,50"
"13-14","388,02","3 061,00"
"14-15","388,02","2 968,70"
"15-16","404,57","2 878,30"
"16-17","450,00","2 664,20"
"17-18","501,83","2 319,40"
"18-19","484,42","2 697,50"
"19-20","525,90","2 885,90"
"20-21","644,10","3 251,20"
"21-22","573,80","3 255,60"
"22-23","494,00","3 181,80"
"23-24","440,00","2 525,10"
