"Godzina","Kurs (PLN/MWh)","Wolumen (MWh)"
"0-1","438,00","2 761,90"
"1-2","428,00","2 419,70"
"2-3","417,18","2 403,60"
"3-4","411,00","2 367,50"
"4-5","405,01","2 249,70"
"5-6","427,00","2 324,50"
"6-7","485,20","2 693,20"
"7-8","501,00","2 892,30"
"8-9","485,56","3 301,50"
"9-10","444,00","3 378,60"
"10-11","477,07","3 500,30"
"11-12","460,00","3 605,90"
"12-13","446,67","3 480,10"
"13-14","489,87","3 483,10"
"14-15","452,22","3 178,90"
"15-16","499,92","3 245,10"
"16-17","500,02","3 144,50"
"17-18","509,00","3 035,20"
"18-19","587,00","3 321,30"
"19-20","618,80","3 864,50"
"20-21","670,00","4 075,80"
"21-22","620,00","3 741,20"
"22-23","535,47","3 768,00"
"23-24","478,40","3 473,70"
