"Godzina","Kurs (PLN/MWh)","Wolumen (MWh)"
"0-1","510,00","3 341,80"
"1-2","460,00","3 073,90"
"2-3","440,27","2 946,20"
"3-4","433,90","2 802,60"
"4-5","435,11","2 948,70"
"5-6","455,50","2 905,90"
"6-7","530,00","3 590,20"
"7-8","517,60","3 472,30"
"8-9","463,76","3 420,20"
"9-10","329,01","4 196,30"
"10-11","200,10","5 293,30"
"11-12","100,00","5 590,90"
"12-13","104,00","5 368,50"
"13-14","98,28","5 263,70"
"14-15","149,99","5 020,90"
"15-16","259,49","4 997,50"
"16-17","343,99","3 849,90"
"17-18","428,20","3 154,80"
"18-19","586,00","3 655,80"
"19-20","950,12","4 273,60"
"20-21","1510,00","4 661,80"
"21-22","1340,00","4 862,30"
"22-23","720,11","4 716,60"
"23-24","557,00","4 269,10"
