"Godzina","Kurs (PLN/MWh)","Wolumen (MWh)"
"0-1","416,03","2 239,10"
"1-2","395,37","2 136,70"
"2-3","393,67","2 021,50"
"3-4","390,00","2 076,50"
"4-5","390,00","2 015,10"
"5-6","394,02","2 106,00"
"6-7","475,00","2 487,00"
"7-8","500,26","2 964,50"
"8-9","484,42","3 361,40"
"9-10","511,84","3 086,40"
"10-11","479,00","3 552,90"
"11-12","476,38","3 591,20"
"12-13","455,72","3 707,90"
"13-14","440,11","3 614,00"
"14-15","426,06","3 845,00"
"15-16","426,06","4 040,10"
"16-17","429,85","3 819,20"
"17-18","425,00","3 873,70"
"18-19","470,00","3 733,90"
"19-20","487,00","4 180,60"
"20-21","551,06","4 138,70"
"21-22","484,50","4 191,80"
"22-23","454,71","3 539,50"
"23-24","406,00","3 195,30"
