"Godzina","Kurs (PLN/MWh)","Wolumen (MWh)"
"0-1","444,79","2 173,80"
"1-2","439,00","1 991,50"
"2-3","426,52","1 652,00"
"3-4","420,00","1 650,50"
"4-5","410,90","1 530,90"
"5-6","379,00","1 491,10"
"6-7","327,99","1 589,70"
"7-8","290,00","2 328,00"
"8-9","148,78","2 792,90"
"9-10","-0,01","2 711,30"
"10-11","-50,00","3 356,30"
"11-12","-100,00","3 592,30"
"12-13","-116,00","3 602,40"
"13-14","-100,00","3 533,70"
"14-15","-100,00","3 518,00"
"15-16","-68,35","2 999,00"
"16-17","7,35","2 807,30"
"17-18","310,00","2 121,30"
"18-19","677,00","2 393,50"
"19-20","675,00","3 180,70"
"20-21","829,00","3 519,70"
"21-22","777,00","3 807,30"
"22-23","521,54","2 889,20"
"23-24","444,69","2 537,10"
