"Godzina","Kurs (PLN/MWh)","Wolumen (MWh)"
"0-1","547,00","3 164,30"
"1-2","507,97","2 849,40"
"2-3","500,00","2 756,40"
"3-4","491,04","2 545,10"
"4-5","479,02","2 276,20"
"5-6","479,00","2 137,10"
"6-7","469,95","2 090,30"
"7-8","441,26","2 207,80"
"8-9","287,90","2 666,30"
"9-10","40,00","3 490,00"
"10-11","-2,00","3 192,70"
"11-12","-30,03","3 441,20"
"12-13","-70,01","3 402,70"
"13-14","-80,01","3 220,30"
"14-15","-35,53","3 020,10"
"15-16","-12,75","2 929,80"
"16-17","4,99","3 069,00"
"17-18","327,21","2 921,00"
"18-19","690,93","2 630,70"
"19-20","570,00","3 082,90"
"20-21","755,13","3 514,20"
"21-22","769,86","4 048,60"
"22-23","597,00","3 192,00"
"23-24","503,93","2 342,70"
