"Godzina","Kurs (PLN/MWh)","Wolumen (MWh)"
"0-1","480,14","3 007,80"
"1-2","455,20","2 932,30"
"2-3","429,02","2 695,30"
"3-4","426,18","2 499,00"
"4-5","415,00","2 421,40"
"5-6","412,30","2 463,70"
"6-7","425,02","2 323,60"
"7-8","429,02","2 052,30"
"8-9","400,00","2 007,80"
"9-10","312,00","2 358,70"
"10-11","178,75","2 577,60"
"11-12","205,97","2 939,10"
"12-13","136,19","3 048,10"
"13-14","135,99","2 975,10"
"14-15","185,00","2 812,60"
"15-16","249,50","2 718,00"
"16-17","339,26","2 412,40"
"17-18","418,87","2 158,60"
"18-19","466,00","2 564,80"
"19-20","510,12","3 038,40"
"20-21","569,30","3 642,50"
"21-22","564,29","3 574,20"
"22-23","504,10","3 360,40"
"23-24","466,73","3 053,00"
