"Godzina","Kurs (PLN/MWh)","Wolumen (MWh)"
"0-1","417,12","2 398,50"
"1-2","394,61","2 156,20"
"2-3","374,99","2 198,90"
"3-4","361,04","2 120,50"
"4-5","352,09","1 974,30"
"5-6","350,00","1 808,90"
"6-7","351,49","1 891,40"
"7-8","391,04","2 097,20"
"8-9","391,04","2 058,20"
"9-10","330,50","2 409,10"
"10-11","256,28","2 533,90"
"11-12","200,00","2 401,90"
"12-13","199,00","2 356,10"
"13-14","149,99","2 433,80"
"14-15","289,92","2 477,90"
"15-16","344,24","2 345,90"
"16-17","372,00","2 010,30"
"17-18","407,00","2 281,80"
"18-19","443,80","2 544,00"
"19-20","475,89","2 612,60"
"20-21","538,30","2 867,00"
"21-22","488,00","2 772,40"
"22-23","444,88","2 786,90"
"23-24","415,80","2 114,80"
