"Godzina","Kurs (PLN/MWh)","Wolumen (MWh)"
"0-1","410,54","2 827,10"
"1-2","349,70","2 606,20"
"2-3","315,70","2 716,50"
"3-4","294,80","2 829,60"
"4-5","286,21","3 271,30"
"5-6","322,80","3 359,10"
"6-7","430,79","3 590,20"
"7-8","443,73","3 951,60"
"8-9","383,40","3 860,50"
"9-10","212,64","4 575,30"
"10-11","6,00","5 555,50"
"11-12","-0,01","4 679,80"
"12-13","-2,12","4 228,00"
"13-14","-2,12","4 104,50"
"14-15","-2,12","4 076,40"
"15-16","-1,42","4 141,60"
"16-17","40,00","4 921,80"
"17-18","269,89","4 674,60"
"18-19","500,00","4 078,80"
"19-20","641,00","3 767,40"
"20-21","931,78","4 098,30"
"21-22","1044,41","4 144,40"
"22-23","720,00","4 784,30"
"23-24","590,01","4 241,20"
