"Godzina","Kurs (PLN/MWh)","Wolumen (MWh)"
"0-1","113,51","3 562,50"
"1-2","101,97","4 009,40"
"2-3","50,24","3 754,40"
"3-4","60,00","3 826,50"
"4-5","50,00","3 966,30"
"5-6","84,01","3 932,40"
"6-7","150,00","4 310,60"
"7-8","200,00","5 424,40"
"8-9","63,99","5 778,80"
"9-10","-1,00","4 936,70"
"10-11","-39,99","4 479,60"
"11-12","-60,00","4 451,40"
"12-13","-91,46","4 411,60"
"13-14","-84,00","4 318,80"
"14-15","-80,00","4 218,30"
"15-16","-39,99","4 279,80"
"16-17","0,00","4 532,90"
"17-18","150,00","4 409,80"
"18-19","401,99","3 892,50"
"19-20","487,10","3 888,60"
"20-21","760,00","4 385,40"
"21-22","639,00","4 009,10"
"22-23","506,99","3 964,60"
"23-24","453,02","3 231,20"
