"Godzina","Kurs (PLN/MWh)","Wolumen (MWh)"
"0-1","440,00","3 186,30"
"1-2","410,00","3 129,60"
"2-3","400,00","3 162,60"
"3-4","395,00","3 096,10"
"4-5","390,00","3 130,70"
"5-6","412,39","3 260,70"
"6-7","480,00","3 331,20"
"7-8","480,00","3 584,80"
"8-9","457,29","3 410,50"
"9-10","438,19","3 794,10"
"10-11","425,42","4 085,30"
"11-12","440,00","4 081,40"
"12-13","480,00","4 334,70"
"13-14","496,45","4 314,90"
"14-15","496,45","4 129,40"
"15-16","496,55","4 010,20"
"16-17","500,11","3 883,20"
"17-18","460,00","3 707,20"
"18-19","469,22","3 575,90"
"19-20","524,00","4 096,20"
"20-21","599,00","4 244,10"
"21-22","570,00","4 151,50"
"22-23","501,00","4 132,80"
"23-24","442,00","3 451,20"
