"Godzina","Kurs (PLN/MWh)","Wolumen (MWh)"
"0-1","470,89","3 284,90"
"1-2","450,00","3 226,80"
"2-3","441,32","3 055,50"
"3-4","440,00","2 945,90"
"4-5","440,00","2 964,50"
"5-6","454,00","2 888,20"
"6-7","516,21","3 129,30"
"7-8","529,60","2 976,80"
"8-9","481,72","2 994,40"
"9-10","435,11","3 216,90"
"10-11","396,13","3 320,10"
"11-12","366,10","3 555,00"
"12-13","350,00","3 461,70"
"13-14","358,47","3 443,90"
"14-15","380,95","3 430,40"
"15-16","400,00","3 326,00"
"16-17","403,00","3 211,90"
"17-18","441,00","3 038,90"
"18-19","530,00","3 241,30"
"19-20","680,00","3 329,80"
"20-21","782,30","3 432,10"
"21-22","682,20","3 229,60"
"22-23","540,00","3 521,70"
"23-24","480,00","2 998,60"
