"Godzina","Kurs (PLN/MWh)","Wolumen (MWh)"
"0-1","440,00","2 726,20"
"1-2","420,00","2 550,70"
"2-3","406,00","2 408,00"
"3-4","401,00","2 352,30"
"4-5","408,00","2 351,80"
"5-6","431,00","2 639,10"
"6-7","487,90","2 873,60"
"7-8","495,85","2 903,50"
"8-9","456,50","2 765,80"
"9-10","415,84","2 875,40"
"10-11","380,00","3 444,90"
"11-12","351,01","4 001,20"
"12-13","325,99","4 124,10"
"13-14","300,01","4 084,10"
"14-15","319,15","4 138,10"
"15-16","358,76","3 541,30"
"16-17","401,01","3 055,30"
"17-18","480,00","3 058,70"
"18-19","550,00","3 356,50"
"19-20","796,89","3 805,30"
"20-21","900,00","4 138,60"
"21-22","699,00","3 574,40"
"22-23","549,24","3 567,50"
"23-24","483,50","3 146,70"
