"Godzina","Kurs (PLN/MWh)","Wolumen (MWh)"
"0-1","446,00","2 773,00"
"1-2","424,10","2 602,80"
"2-3","400,00","2 455,50"
"3-4","399,00","2 409,70"
"4-5","384,85","2 381,70"
"5-6","411,99","2 500,00"
"6-7","486,79","3 433,60"
"7-8","468,00","3 083,40"
"8-9","444,82","3 123,60"
"9-10","391,00","3 401,20"
"10-11","284,99","3 725,40"
"11-12","270,00","3 677,50"
"12-13","327,80","3 380,60"
"13-14","350,61","3 289,10"
"14-15","410,73","3 011,10"
"15-16","449,00","2 734,90"
"16-17","530,00","2 784,80"
"17-18","600,00","3 524,00"
"18-19","660,95","3 779,50"
"19-20","779,00","4 420,50"
"20-21","959,00","4 675,50"
"21-22","624,54","4 150,80"
"22-23","520,00","4 117,40"
"23-24","460,00","3 170,00"
