"Godzina","Kurs (PLN/MWh)","Wolumen (MWh)"
"0-1","367,59","2 456,90"
"1-2","303,99","2 678,30"
"2-3","280,00","2 592,40"
"3-4","270,00","2 495,60"
"4-5","285,20","2 386,60"
"5-6","345,88","2 333,10"
"6-7","439,00","2 656,80"
"7-8","470,51","2 986,90"
"8-9","421,99","2 956,70"
"9-10","334,90","3 222,50"
"10-11","106,10","3 479,90"
"11-12","0,01","3 605,90"
"12-13","-0,01","3 660,00"
"13-14","-2,12","3 680,20"
"14-15","-0,01","3 897,30"
"15-16","0,01","4 247,40"
"16-17","250,00","4 424,60"
"17-18","400,00","3 700,60"
"18-19","483,31","4 277,90"
"19-20","540,00","4 358,50"
"20-21","516,78","4 655,10"
"21-22","475,73","4 554,90"
"22-23","420,00","4 081,40"
"23-24","350,00","3 793,70"
