"Godzina","Kurs (PLN/MWh)","Wolumen (MWh)"
"0-1","420,00","2 150,10"
"1-2","390,00","1 992,30"
"2-3","371,37","1 804,10"
"3-4","366,00","1 789,70"
"4-5","349,90","1 773,30"
"5-6","336,60","1 620,40"
"6-7","297,90","1 784,50"
"7-8","273,14","2 224,10"
"8-9","121,32","2 519,60"
"9-10","0,01","2 823,90"
"10-11","0,00","2 781,00"
"11-12","0,00","2 668,70"
"12-13","0,01","2 796,30"
"13-14","0,01","3 000,60"
"14-15","0,01","2 943,20"
"15-16","0,01","2 940,20"
"16-17","11,67","2 977,00"
"17-18","228,50","3 035,60"
"18-19","362,91","3 098,00"
"19-20","440,02","3 697,00"
"20-21","460,51","4 023,00"
"21-22","478,89","4 221,80"
"22-23","406,60","3 667,20"
"23-24","353,99","3 328,80"
