"Godzina","Kurs (PLN/MWh)","Wolumen (MWh)"
"0-1","445,42","2 804,10"
"1-2","425,23","2 778,10"
"2-3","420,00","2 840,00"
"3-4","407,80","2 703,10"
"4-5","384,90","2 699,90"
"5-6","400,00","2 758,40"
"6-7","450,00","3 197,80"
"7-8","430,20","3 620,80"
"8-9","410,49","3 882,70"
"9-10","320,00","4 768,70"
"10-11","190,00","5 473,30"
"11-12","90,00","5 861,10"
"12-13","26,00","5 908,20"
"13-14","14,00","5 615,80"
"14-15","45,99","5 428,40"
"15-16","128,16","4 907,20"
"16-17","255,63","4 262,70"
"17-18","363,20","3 827,50"
"18-19","594,20","3 360,20"
"19-20","712,57","3 682,00"
"20-21","855,40","4 159,70"
"21-22","737,79","4 415,80"
"22-23","566,00","4 110,10"
"23-24","478,54","3 792,90"
