"Godzina","Kurs (PLN/MWh)","Wolumen (MWh)"
"0-1","454,00","2 781,30"
"1-2","412,00","2 649,10"
"2-3","412,11","2 405,90"
"3-4","405,87","2 302,10"
"4-5","404,00","2 222,80"
"5-6","415,10","2 388,70"
"6-7","473,59","2 740,00"
"7-8","481,10","2 390,60"
"8-9","467,50","2 664,10"
"9-10","413,90","2 917,00"
"10-11","371,30","3 623,90"
"11-12","352,90","3 960,00"
"12-13","320,00","4 016,70"
"13-14","290,00","3 914,90"
"14-15","281,99","3 402,70"
"15-16","327,99","2 991,60"
"16-17","408,00","3 039,50"
"17-18","473,09","3 299,80"
"18-19","526,96","3 606,10"
"19-20","689,37","4 183,70"
"20-21","829,50","4 474,30"
"21-22","681,90","4 335,40"
"22-23","528,34","4 439,70"
"23-24","470,89","3 825,60"
