"Godzina","Kurs (PLN/MWh)","Wolumen (MWh)"
"0-1","442,00","2 945,30"
"1-2","434,00","2 599,00"
"2-3","426,00","2 429,70"
"3-4","420,01","2 383,50"
"4-5","422,28","2 376,10"
"5-6","438,00","2 677,00"
"6-7","510,00","3 084,60"
"7-8","508,00","3 091,90"
"8-9","466,48","2 983,30"
"9-10","409,70","3 719,90"
"10-11","301,92","4 096,50"
"11-12","250,00","4 404,40"
"12-13","192,60","4 612,80"
"13-14","174,21","4 717,20"
"14-15","200,01","4 490,40"
"15-16","230,00","4 395,30"
"16-17","300,00","3 829,90"
"17-18","387,80","3 428,90"
"18-19","530,00","3 199,60"
"19-20","540,00","3 733,50"
"20-21","650,00","4 038,60"
"21-22","630,00","3 954,90"
"22-23","528,00","3 922,60"
"23-24","460,00","3 592,20"
