"Godzina","Kurs (PLN/MWh)","Wolumen (MWh)"
"0-1","501,95","2 635,20"
"1-2","438,00","2 371,00"
"2-3","399,60","2 766,70"
"3-4","380,80","2 830,00"
"4-5","365,80","2 608,30"
"5-6","383,05","2 890,60"
"6-7","494,00","3 150,60"
"7-8","502,05","3 586,10"
"8-9","437,26","4 050,50"
"9-10","396,99","4 701,20"
"10-11","250,00","5 513,10"
"11-12","180,01","5 468,40"
"12-13","100,00","5 537,40"
"13-14","27,99","5 574,40"
"14-15","17,99","5 293,80"
"15-16","66,14","4 951,80"
"16-17","167,99","5 139,30"
"17-18","335,99","4 820,70"
"18-19","403,00","3 990,80"
"19-20","528,40","3 731,10"
"20-21","568,62","3 950,70"
"21-22","548,74","4 430,10"
"22-23","502,00","4 202,50"
"23-24","441,00","3 520,60"
