"Godzina","Kurs (PLN/MWh)","Wolumen (MWh)"
"0-1","440,00","3 150,60"
"1-2","422,10","3 240,10"
"2-3","385,76","3 120,70"
"3-4","400,00","3 232,00"
"4-5","382,92","3 067,80"
"5-6","350,00","2 646,70"
"6-7","331,20","2 609,20"
"7-8","310,00","3 373,20"
"8-9","128,27","3 580,70"
"9-10","20,00","3 982,80"
"10-11","0,01","3 793,10"
"11-12","0,00","3 442,20"
"12-13","0,01","3 471,80"
"13-14","0,01","3 437,20"
"14-15","0,00","3 390,20"
"15-16","0,01","3 362,90"
"16-17","116,32","2 956,60"
"17-18","372,86","2 886,40"
"18-19","516,10","3 039,60"
"19-20","520,00","3 144,10"
"20-21","630,00","3 192,20"
"21-22","547,59","3 481,90"
"22-23","470,00","3 177,70"
"23-24","453,93","2 832,30"
